year,as_name,dist_from_start,as_dist,year_as_index,race_name,as_index,flag_finish
2014,Ramsey Rd,5.8,5.8,2014AS_01,ES100,AS_01,FALSE
2014,Ramsey,11.3,5.5,2014AS_02,ES100,AS_02,FALSE
2014,Lower Pine Bottom,17.8,6.5,2014AS_03,ES100,AS_03,FALSE
2014,Browns Run,25.8,8,2014AS_04,ES100,AS_04,FALSE
2014,Happy Dutchman,31.6,5.8,2014AS_05,ES100,AS_05,FALSE
2014,Ritchie Road,38.5,6.9,2014AS_06,ES100,AS_06,FALSE
2014,Hyner Run,43.2,4.7,2014AS_07,ES100,AS_07,FALSE
2014,Dry Run,51.2,8,2014AS_08,ES100,AS_08,FALSE
2014,Big Trail,56.6,5.4,2014AS_09,ES100,AS_09,FALSE
2014,Slate Run,63.9,7.3,2014AS_10,ES100,AS_10,FALSE
2014,Algerine,69.3,5.4,2014AS_11,ES100,AS_11,FALSE
2014,Long Branch,75.8,6.5,2014AS_12,ES100,AS_12,FALSE
2014,Blackwell,80.5,4.7,2014AS_13,ES100,AS_13,FALSE
2014,Sky Top,85,4.5,2014AS_14,ES100,AS_14,FALSE
2014,Barrens,93.1,8.1,2014AS_15,ES100,AS_15,FALSE
2014,Hacketts,99.3,6.2,2014AS_16,ES100,AS_16,FALSE
2014,Little Pine Creek SP,103.1,3.8,2014AS_17,ES100,AS_17,TRUE
2015,Ramsey Rd,5.8,5.8,2015AS_01,ES100,AS_01,FALSE
2015,Ramsey,11.3,5.5,2015AS_02,ES100,AS_02,FALSE
2015,Lower Pine Bottom,17.8,6.5,2015AS_03,ES100,AS_03,FALSE
2015,Browns Run,25.8,8,2015AS_04,ES100,AS_04,FALSE
2015,Happy Dutchman,31.6,5.8,2015AS_05,ES100,AS_05,FALSE
2015,Ritchie Road,38.5,6.9,2015AS_06,ES100,AS_06,FALSE
2015,Hyner Run,43.2,4.7,2015AS_07,ES100,AS_07,FALSE
2015,Dry Run,51.2,8,2015AS_08,ES100,AS_08,FALSE
2015,Big Trail,56.6,5.4,2015AS_09,ES100,AS_09,FALSE
2015,Slate Run,63.9,7.3,2015AS_10,ES100,AS_10,FALSE
2015,Algerine,69.3,5.4,2015AS_11,ES100,AS_11,FALSE
2015,Long Branch,75.8,6.5,2015AS_12,ES100,AS_12,FALSE
2015,Blackwell,80.5,4.7,2015AS_13,ES100,AS_13,FALSE
2015,Sky Top,85,4.5,2015AS_14,ES100,AS_14,FALSE
2015,Barrens,93.1,8.1,2015AS_15,ES100,AS_15,FALSE
2015,Hacketts,99.3,6.2,2015AS_16,ES100,AS_16,FALSE
2015,Little Pine Creek SP,103.1,3.8,2015AS_17,ES100,AS_17,TRUE
2016,Ramsey Rd,5.8,5.8,2016AS_01,ES100,AS_01,FALSE
2016,Ramsey,11.3,5.5,2016AS_02,ES100,AS_02,FALSE
2016,Lower Pine Bottom,17.8,6.5,2016AS_03,ES100,AS_03,FALSE
2016,Browns Run,25.8,8,2016AS_04,ES100,AS_04,FALSE
2016,Happy Dutchman,31.6,5.8,2016AS_05,ES100,AS_05,FALSE
2016,Ritchie Road,38.5,6.9,2016AS_06,ES100,AS_06,FALSE
2016,Hyner Run,43.2,4.7,2016AS_07,ES100,AS_07,FALSE
2016,Dry Run,51.2,8,2016AS_08,ES100,AS_08,FALSE
2016,Big Trail,56.6,5.4,2016AS_09,ES100,AS_09,FALSE
2016,Slate Run,63.9,7.3,2016AS_10,ES100,AS_10,FALSE
2016,Algerine,69.3,5.4,2016AS_11,ES100,AS_11,FALSE
2016,Long Branch,75.8,6.5,2016AS_12,ES100,AS_12,FALSE
2016,Blackwell,80.5,4.7,2016AS_13,ES100,AS_13,FALSE
2016,Sky Top,85,4.5,2016AS_14,ES100,AS_14,FALSE
2016,Barrens,93.1,8.1,2016AS_15,ES100,AS_15,FALSE
2016,Hacketts,99.3,6.2,2016AS_16,ES100,AS_16,FALSE
2016,Little Pine Creek SP,103.1,3.8,2016AS_17,ES100,AS_17,TRUE
2017,Ramsey Rd,5.8,5.8,2017AS_01,ES100,AS_01,FALSE
2017,Ramsey,11.3,5.5,2017AS_02,ES100,AS_02,FALSE
2017,Lower Pine Bottom,17.8,6.5,2017AS_03,ES100,AS_03,FALSE
2017,Browns Run,25.8,8,2017AS_04,ES100,AS_04,FALSE
2017,Happy Dutchman,31.6,5.8,2017AS_05,ES100,AS_05,FALSE
2017,Ritchie Road,38.5,6.9,2017AS_06,ES100,AS_06,FALSE
2017,Hyner Run,43.2,4.7,2017AS_07,ES100,AS_07,FALSE
2017,Dry Run,51.1,7.9,2017AS_08,ES100,AS_08,FALSE
2017,Halfway House,54.7,3.6,2017AS_09,ES100,AS_09,FALSE
2017,Slate Run,63.9,9.2,2017AS_10,ES100,AS_10,FALSE
2017,Algerine,69.3,5.4,2017AS_11,ES100,AS_11,FALSE
2017,Long Branch,75.8,6.5,2017AS_12,ES100,AS_12,FALSE
2017,Blackwell,80.5,4.7,2017AS_13,ES100,AS_13,FALSE
2017,Sky Top,85,4.5,2017AS_14,ES100,AS_14,FALSE
2017,Barrens,93.1,8.1,2017AS_15,ES100,AS_15,FALSE
2017,Hacketts,99.3,6.2,2017AS_16,ES100,AS_16,FALSE
2017,Little Pine Creek SP,103.1,3.8,2017AS_17,ES100,AS_17,TRUE
2019,Ramsey Rd,5.8,5.8,2019AS_01,ES100,AS_01,FALSE
2019,Ramsey,11.3,5.5,2019AS_02,ES100,AS_02,FALSE
2019,Lower Pine Bottom,17.8,6.5,2019AS_03,ES100,AS_03,FALSE
2019,Browns Run,25.8,8,2019AS_04,ES100,AS_04,FALSE
2019,Happy Dutchman,31.6,5.8,2019AS_05,ES100,AS_05,FALSE
2019,Ritchie Road,38.5,6.9,2019AS_06,ES100,AS_06,FALSE
2019,Hyner Run,43.2,4.7,2019AS_07,ES100,AS_07,FALSE
2019,Dry Run,51.1,7.9,2019AS_08,ES100,AS_08,FALSE
2019,Halfway House,54.7,3.6,2019AS_09,ES100,AS_09,FALSE
2019,Callahan,59.4,4.7,2019AS_10,ES100,AS_10,FALSE
